"fish_sample_id","impoundment_code","sample_date","gear_description","location","units_of_effort","effort_description","species","length","length_category","weight","group_count"
"93330","MILR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #419","18.00000","Hours","Freshwater Drum","338","Q-P","441","1"
"93304","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #310","20.00000","Hours","Freshwater Drum","314","Q-P","","1"
"93304","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #310","20.00000","Hours","Freshwater Drum","314","Q-P","","1"
"93299","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #154","24.00000","Hours","Freshwater Drum","390","P-M","765","1"
"93299","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #154","24.00000","Hours","Freshwater Drum","375","Q-P","622","1"
"93299","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #154","24.00000","Hours","Freshwater Drum","130","SS","","1"
"93298","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #209","24.00000","Hours","Freshwater Drum","398","P-M","812","1"
"93297","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #210","24.00000","Hours","Freshwater Drum","171","SS","67","1"
"93285","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #134","24.00000","Hours","Freshwater Drum","401","P-M","770","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","412","P-M","1039","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","389","P-M","720","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","405","P-M","766","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","423","P-M","897","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","374","Q-P","603","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","415","P-M","838","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","420","P-M","890","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","147","SS","33","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","313","Q-P","357","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","265","S-Q","227","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","272","S-Q","223","1"
"93281","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #172","24.00000","Hours","Freshwater Drum","439","P-M","871","1"
"93281","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #172","24.00000","Hours","Freshwater Drum","152","SS","36","1"
"93281","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #172","24.00000","Hours","Freshwater Drum","273","S-Q","217","1"
"93270","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #401","24.00000","Hours","Freshwater Drum","420","P-M","860","1"
"93269","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #275","24.00000","Hours","Freshwater Drum","167","SS","64","1"
"93268","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #260","24.00000","Hours","Freshwater Drum","344","Q-P","492","1"
"93266","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #421","24.00000","Hours","Freshwater Drum","398","P-M","890","1"
"93260","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #248","20.00000","Hours","Freshwater Drum","215","S-Q","88","1"
"93257","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #335","20.00000","Hours","Freshwater Drum","255","S-Q","178","1"
"93254","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #369","19.00000","Hours","Freshwater Drum","440","P-M","","1"
"93254","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #369","19.00000","Hours","Freshwater Drum","415","P-M","","1"
"93216","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #209","18.00000","Hours","Freshwater Drum","266","S-Q","191","1"
"93215","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #193","18.00000","Hours","Freshwater Drum","137","SS","26","1"
"93214","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #131","18.00000","Hours","Freshwater Drum","335","Q-P","407","1"
"93214","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #131","18.00000","Hours","Freshwater Drum","135","SS","22","1"
"93213","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #124","18.00000","Hours","Freshwater Drum","249","S-Q","182","1"
"93200","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #224","21.00000","Hours","Freshwater Drum","320","Q-P","354","1"
"93198","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #438","20.00000","Hours","Freshwater Drum","190","SS","","1"
"93198","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #438","20.00000","Hours","Freshwater Drum","450","P-M","1282","1"
"93197","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #495","20.00000","Hours","Freshwater Drum","170","SS","","1"
"93190","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #576","21.00000","Hours","Freshwater Drum","186","SS","60","1"
"93188","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #542","21.00000","Hours","Freshwater Drum","391","P-M","766","1"
"93184","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #518","20.00000","Hours","Freshwater Drum","170","SS","54","1"
"93182","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #83","15.00000","Hours","Freshwater Drum","307","Q-P","306","1"
"93182","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #83","15.00000","Hours","Freshwater Drum","292","S-Q","254","1"
"93181","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #558","19.00000","Hours","Freshwater Drum","425","P-M","960","1"
"93177","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #184","15.00000","Hours","Freshwater Drum","280","S-Q","234","1"
"93176","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #226","15.00000","Hours","Freshwater Drum","310","Q-P","324","1"
"93079","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #122","18.00000","Hours","Freshwater Drum","294","S-Q","288","1"
"93079","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #122","18.00000","Hours","Freshwater Drum","399","P-M","769","1"
"93078","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #157","18.00000","Hours","Freshwater Drum","228","S-Q","130","1"
"93077","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #163","18.00000","Hours","Freshwater Drum","187","SS","77","1"
"93067","CGRR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #106","18.00000","Hours","Freshwater Drum","377","Q-P","614","1"
"93019","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #95","18.00000","Hours","Freshwater Drum","345","Q-P","385","1"
"93018","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #87","18.00000","Hours","Freshwater Drum","330","Q-P","374","1"
"93018","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #87","18.00000","Hours","Freshwater Drum","342","Q-P","418","1"
"93018","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #87","18.00000","Hours","Freshwater Drum","311","Q-P","316","1"
"93018","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #87","18.00000","Hours","Freshwater Drum","342","Q-P","380","1"
"93018","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #87","18.00000","Hours","Freshwater Drum","355","Q-P","470","1"
"93017","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #26","18.00000","Hours","Freshwater Drum","320","Q-P","321","1"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours","Freshwater Drum","335","Q-P","408","1"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours","Freshwater Drum","141","SS","28","1"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours","Freshwater Drum","309","Q-P","252","1"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours","Freshwater Drum","384","P-M","756","1"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours","Freshwater Drum","141","SS","40","1"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours","Freshwater Drum","303","Q-P","228","1"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours","Freshwater Drum","325","Q-P","362","1"
"93004","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #97","19.00000","Hours","Freshwater Drum","354","Q-P","536","1"
"93004","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #97","19.00000","Hours","Freshwater Drum","271","S-Q","213","1"
"93004","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #97","19.00000","Hours","Freshwater Drum","331","Q-P","406","1"
"93004","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #97","19.00000","Hours","Freshwater Drum","259","S-Q","177","1"
"93001","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #79","22.00000","Hours","Freshwater Drum","321","Q-P","381","1"
"93001","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #79","22.00000","Hours","Freshwater Drum","323","Q-P","424","1"
"93001","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #79","22.00000","Hours","Freshwater Drum","139","SS","36","1"
"93001","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #79","22.00000","Hours","Freshwater Drum","296","S-Q","304","1"
"92999","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #63","21.00000","Hours","Freshwater Drum","341","Q-P","496","1"
"92999","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #63","21.00000","Hours","Freshwater Drum","415","P-M","958","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","303","Q-P","307","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","332","Q-P","438","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","336","Q-P","445","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","408","P-M","904","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","331","Q-P","414","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","414","P-M","912","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","321","Q-P","365","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","403","P-M","831","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","328","Q-P","425","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","326","Q-P","442","1"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","341","Q-P","420","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","424","P-M","867","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","336","Q-P","444","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","360","Q-P","648","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","345","Q-P","486","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","303","Q-P","313","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","315","Q-P","366","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","379","Q-P","618","1"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours","Freshwater Drum","321","Q-P","397","1"
"92994","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #29","19.00000","Hours","Freshwater Drum","139","SS","28","1"
"92981","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #131","18.00000","Hours","Freshwater Drum","283","S-Q","234","1"
"92981","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #131","18.00000","Hours","Freshwater Drum","250","S-Q","146","1"
"92981","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #131","18.00000","Hours","Freshwater Drum","242","S-Q","130","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","278","S-Q","254","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","319","Q-P","342","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","349","Q-P","468","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","309","Q-P","306","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","236","S-Q","124","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","331","Q-P","360","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","289","S-Q","254","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","130","SS","18","1"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours","Freshwater Drum","138","SS","22","1"
"92969","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #91","18.00000","Hours","Freshwater Drum","305","Q-P","294","1"
"92966","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #34","21.50000","Hours","Freshwater Drum","322","Q-P","319","1"
"92965","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #29","21.00000","Hours","Freshwater Drum","338","Q-P","338","1"
"92965","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #29","21.00000","Hours","Freshwater Drum","313","Q-P","302","1"
"92964","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #75","20.50000","Hours","Freshwater Drum","322","Q-P","364","1"
"92963","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #104","20.00000","Hours","Freshwater Drum","308","Q-P","344","1"
"92940","CGCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #124","20.00000","Hours","Freshwater Drum","250","S-Q","","1"
"92935","CGCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #208","20.00000","Hours","Freshwater Drum","190","SS","","1"
"92913","HRCA","2022-10-04","GILL NET-CORE PANEL","Sample Grid #225","20.00000","Hours","Freshwater Drum","375","Q-P","458","1"
"92775","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #79","24.00000","Hours","Freshwater Drum","149","SS","","1"
"92775","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #79","24.00000","Hours","Freshwater Drum","164","SS","","1"
"92775","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #79","24.00000","Hours","Freshwater Drum","146","SS","","1"
"92775","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #79","24.00000","Hours","Freshwater Drum","236","S-Q","","1"
"92775","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #79","24.00000","Hours","Freshwater Drum","146","SS","","1"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours","Freshwater Drum","152","SS","41","1"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours","Freshwater Drum","142","SS","36","1"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours","Freshwater Drum","160","SS","43","1"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours","Freshwater Drum","145","SS","30","1"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours","Freshwater Drum","169","SS","28","1"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours","Freshwater Drum","150","SS","46","1"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours","Freshwater Drum","136","SS","33","1"
"92771","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #91","24.00000","Hours","Freshwater Drum","292","S-Q","305","1"
"92753","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #41","24.00000","Hours","Freshwater Drum","160","SS","37","1"
"91075","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #89","18.00000","Hours","Freshwater Drum","370","Q-P","","1"
"91075","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #89","18.00000","Hours","Freshwater Drum","343","Q-P","400","1"
"91075","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #89","18.00000","Hours","Freshwater Drum","300","Q-P","290","1"
"91075","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #89","18.00000","Hours","Freshwater Drum","350","Q-P","","1"
"91074","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #11","18.00000","Hours","Freshwater Drum","330","Q-P","","1"
"91073","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #36","18.00000","Hours","Freshwater Drum","330","Q-P","","1"
"91072","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #56","18.00000","Hours","Freshwater Drum","270","S-Q","","1"
"91044","WECA","2021-10-12","GILL NET-CORE PANEL","Sample Grid #51","18.00000","Hours","Freshwater Drum","150","SS","29","1"
"91044","WECA","2021-10-12","GILL NET-CORE PANEL","Sample Grid #51","18.00000","Hours","Freshwater Drum","337","Q-P","386","1"
"91042","WECA","2021-10-12","GILL NET-CORE PANEL","Sample Grid #11","18.00000","Hours","Freshwater Drum","272","S-Q","194","1"
"91041","WECA","2021-10-12","GILL NET-CORE PANEL","Sample Grid #178","18.00000","Hours","Freshwater Drum","342","Q-P","439","1"
"91040","WECA","2021-10-12","GILL NET-CORE PANEL","Sample Grid #130","18.00000","Hours","Freshwater Drum","175","SS","52","1"
"91040","WECA","2021-10-12","GILL NET-CORE PANEL","Sample Grid #130","18.00000","Hours","Freshwater Drum","260","S-Q","180","1"
"91025","POCL","2021-11-09","GILL NET-CORE PANEL","Sample Grid #88","20.00000","Hours","Freshwater Drum","272","S-Q","220","1"
"91025","POCL","2021-11-09","GILL NET-CORE PANEL","Sample Grid #88","20.00000","Hours","Freshwater Drum","271","S-Q","205","1"
"91023","POCL","2021-11-09","GILL NET-CORE PANEL","Sample Grid #115","20.00000","Hours","Freshwater Drum","225","S-Q","118","1"
"91022","CSSL","2021-10-14","GILL NET-CORE PANEL","Sample Grid #15","18.00000","Hours","Freshwater Drum","335","Q-P","420","1"
"91014","MISL","2021-11-05","GILL NET-CORE PANEL","Sample Grid #7","20.00000","Hours","Freshwater Drum","355","Q-P","474","1"
"91008","MISL","2021-11-05","GILL NET-CORE PANEL","Sample Grid #20","20.00000","Hours","Freshwater Drum","351","Q-P","453","1"
"90988","HVCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #89","23.00000","Hours","Freshwater Drum","279","S-Q","272","1"
"90988","HVCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #89","23.00000","Hours","Freshwater Drum","305","Q-P","376","1"
"90988","HVCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #89","23.00000","Hours","Freshwater Drum","309","Q-P","305","1"
"90988","HVCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #89","23.00000","Hours","Freshwater Drum","377","Q-P","581","1"
"90988","HVCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #89","23.00000","Hours","Freshwater Drum","292","S-Q","298","1"
