impoundment_code,impd,long,lat,ac,huc8
SGEP,Afton RP-East,-97.63434,37.60202,1,11030016
SGWP,Afton RP-West,-97.63434,37.60202,1,11030016
AGCL,Agra City Lake,-99.12707345,39.76044834,7,10260012
ALL,All,,,,
AECL,Allen City Lake,-96.15617,38.66709,59,10290101
ALCL,Alma City Lake,-96.2593244,38.98102387,80,10270102
ALCA,Altamont City Lake-East,-95.28803,37.1407,21,11070205
ALCB,Altamont City Lake-West,-95.29186,37.14036,13,11070205
ANHS,Andale High School - Renwick 267 Pond,-97.639036,37.797188,2,11030013
ANCA,Andover-Lake George,-97.11319,37.69542,4,11030018
ANCL,Anthony City Lake,-98.05112334,37.18016825,156,11060005
ANRP,Anthony RP,-98.05086,37.17206,1,11060005
ARIZ,Arizona,-111.58863,35.17605,,
ARKA,Arkansas,-98.03117,37.15335,,11060005
ARKP,Arkansas City Pond,-97.02571,37.08797,16,11030018
ARKB,Arkansas City-Knebbler Pond #1,-97.02407,37.06921,16,11030018
ARKC,Arkansas City-Knebbler Pond #2,-97.02531,37.06549,5,11030018
ARKS,Arkansas River,-97.34385,37.67138,,11030013
ARKO,Arkansas River-Oxford,-97.1623,37.27588,2,11030013
ARCL,Arma City Lake,-94.69221,37.53967,1.5,11070207
ATCA,Atchison City Lake #1,-95.11834,39.57922,6,10240011
ATCB,Atchison City Lake #2,-95.12343,39.57922,3,10240011
ATCG,Atchison City Lake #23,-95.15013869,39.53797811,39,10240011
ATCK,Atchison City Lake #24,-95.13056,39.54451,4,10240011
ATCC,Atchison City Lake #3,-95.1268,39.57747,4,10240011
ATCD,Atchison City Lake #4,-95.13327,39.5752,4,10240011
ATCH,Atchison City Lake #6,-95.14056,39.56664,4,10240011
ATCE,Atchison City Lake #7,-95.14847,39.56499,10,10240011
ATCF,Atchison City Lake #8,-95.15914,39.55983,14,10240011
ATCI,Atchison City Lake #9,-95.16388,39.55506,18,10240011
ATCJ,Atchison County Lake,-95.45674478,39.63774892,60,10270103
VPAF,Atchison Distr. FISH Map 6 Prop 12 13 14,,,1,
VPAE,Atchison Distr. FISH Map 6 Prop 7 8 25,,,1,
ATSL,Atchison State Fishing Lake,-95.17519056,39.63451954,66,10240011
AUCL,Augusta City Lake,-96.98209,37.69836,,11030017
BWCL,Baldwin-Spring Creek Lake,-95.16247,38.75376,7,10290101
HOCC,Banner Creek Lake,-95.77838336,39.45138059,535,10270103
BBBB,Barber Co-99 Springs,-98.59066,37.4,0,11060003
BBBA,Barber Co-Arrowhead Lake,-98.60622,37.41297,0,11060003
BASB,Barber State Fishing Lake,-98.58188384,37.29981098,51,11060003
BASA,Barber State Fishing Lake-Upper,-98.58309,37.3018,26,11060003
BTCL,Bartlett City Lake,-95.21608,37.0595,19,11070205
BACP,Bel Aire-Central Park Lake,-97.25537,37.77667,5,11030013
BACL,Bel Aire-Eagle Lake,-97.27565,37.76019,4,11030013
BLCL,Belleville-Rocky Pond,-97.61979002,39.83074123,27,10250017
BNPK,Benton Poling Park Lake,-97.11331,37.79559,5,11030017
BDWA,Berentz-Dick Wildlife Area Pond,-95.95561,37.18857,7,11070106
BVRL,Bever Lake,,,0,
BLRV,Big Blue River-North,-96.66146,39.84133,0,10270205
SBBR,Big Blue River-South,-96.53734,39.19217,0,10270205
BGHP,Big Hill Overlook Pond,-95.47215,37.2727,1,11070103
BGHR,Big Hill Reservoir,-95.45832903,37.29233671,1240,11070103
BGWC,Big Hill Wildlife Area-Assorted Ponds,-95.44207,37.26172,5,11070103
BGWA,Big Hill Wildlife Area-North Pond,-95.42776,37.27905,11,11070103
BGWB,Big Hill Wildlife Area-South Pond,-95.42667,37.26092,3,11070103
BICL,Bison-Reinhart Lake,-99.2226,38.5554,10,11030008
RHPB,Bison-Reinhart Lake,-99.2226,38.5554,0,11030008
BKSL,Black Kettle State Fishing Lake,-97.51017428,38.22905771,8,11030012
BMCL,Blue Mound City Lake,-95.02749,38.1055,19,10290103
BLUS,Blue River,-94.46917,39.12737,,
BSTL,Bluestem Lake,,,0,
BTWA,Bolton Wildlife Area,-96.19365,39.11039,2,10270102
BNCL,Bone Creek Lake,-94.76956,37.61344,540,10290104
BSCL,Bonner Springs-N Park Lake,-94.892294,39.076332,3,10270104
BBCC,Bourbon Co-Cedar Creek Reservoir,-94.82076,37.83054,220,10290104
CDBB,Bourbon Co-Cedar Creek Reservoir,-94.82076,37.83054,,10290104
BBCM,Bourbon Co-Hiattville,,,0,
BBCL,Bourbon County Lake,-94.8542971,37.7568428,106,10290104
BBSL,Bourbon State Fishing Lake,-95.06732232,37.79257918,103,10290104
BRCL,Bronson City Lake,-95.03261,37.88651,25,10290104
BRSL,Brown State Fishing Lake,-95.37459019,39.84868299,62,10240005
BROX,Browning  Oxbow,-94.91862,39.76187,,10240011
BUHL,Buhler-Wheatland Park,-97.76861,38.14072,1,11030012
BUPP,Butler Co-El Dorado Prison Pond,-96.82914,37.81142,3,11030017
BUSL,Butler State Fishing Lake,-96.68788742,37.54943913,124,11030018
CBCL,Carbondale City Lake-East,-95.64203322,38.81183263,265,10270104
CBCA,Carbondale City Lake-West,-95.71468,38.81836,35,10290101
CDBR,Cedar Bluff Reservoir,-99.77839653,38.78635503,2500,10260003
CBRP,Cedar Bluff RP,-99.7203,38.78734,1,10260006
CBSB,Cedar Bluff Stilling Basin,-99.71925,38.78074,2,10260006
CTCL,Centralia City Lake,-96.16163,39.70213,400,10270205
CNCL,Chanute City Lake,-95.45811724,37.65416259,80,11070204
CNPP,Chanute-Highland Park Pond,-95.46463,37.6865,1,11070204
CSGP,Chase Co-Sauger Brood Pond,-96.35107,38.32017,22,11070203
CSSL,Chase State Fishing Lake,-96.58736926,38.36680043,109,11070203
CHNR,Cheney Reservoir,-97.83512623,37.75987194,9550,11030014
CHCL,Cherryvale City Lake-Tanko,-95.55221,37.259,11,11070103
CHED,Chetopa Dam,-95.08073,37.03611,,11070205
CHBW,Cheyenne Bottoms,-98.66314,38.47974,,11030011
CBSC,Cheyenne Bttms Spt Smncb,,,0,
CMNG,Cimarron Grasslands Pits,-101.91413,37.11452,15,11040002
CASL,Clark State Fishing Lake,-99.79139,37.39467,300,11040008
CCKP,Clay Center-Kiwanis Park Pond,-97.129105,39.371548,1,10250017
CECR,Clearwater-Chisholm Ridge Lake,-97.489463,37.50513,5,11030016
CLTR,Clinton Reservoir,-95.38377266,38.9189291,7000,10270104
CLSB,Clinton Reservoir Stilling Basin,-95.32941,38.93155,1,10270104
CLPP,Clinton State Park Pond-Lake Henry,-95.35536,38.93649,3,10270104
CLTP,Clinton State Park-Picnic Area Pond,-95.3603,38.93767,1,10270104
CFCA,Coffeyville-LeClere,-95.64029,37.05224,7,11070103
CFCB,Coffeyville-Pfister,-95.64679,37.0637,1,11070103
COCL,Colby-Villa High Lake,-101.05272,39.38179,2,10250015
CWCL,Coldwater Lake,-99.34848907,37.24895089,250,11040008
COLO,Colorado,-105.01271,39.76532,,
CKCL,Columbus VFW,-94.83556,37.16393,2,11070207
COWL,Colwich City Lake,-97.52877,37.78129,10,11030013
COMM,Commercial Fish Grower,-98.69268,37.63194,,11030015
CNWA,Concannon State Fishing Lake,-100.5610916,38.06821663,60,11030005
COPP,Copan WA Ponds,-95.96981,37.01279,5,11070106
CGCL,Council Grove City Lake,-96.56128649,38.67360069,434,11070201
CGRR,Council Grove Reservoir,-96.51928712,38.69965491,3280,11070201
CGSB,Council Grove Stilling Basin,-96.506078,38.67747,1,11070201
CLSL,Cowley State Fishing Lake,-96.80066403,37.09840423,84,11060001
CRSL,Crawford State Fishing Lake,-94.81291226,37.63632443,150,10290104
LNCR,Critzer Lake,-94.95578,38.14332,220,10290102
DHCL,Derby-High Lake,-97.22654,37.5517,3,11030013
DHNL,Derby-New High Lake,-97.22654,37.5517,3,11030013
DHCB,Derby-Rainbow Valley Lake,-97.24926,37.55844,1,11030013
DHCH,Derby-Stone Lake,-97.2639,37.57868,4,11030013
HUEU,Dillions O.E.C. Upper Pond,-97.46586,37.69308,0,11030013
DCDL,Dodge City High School-Demon Lake,-100.04812,37.78229,1,11030006
DCGC,Dodge City-Golf Course,-100.00427,37.76616,2,11030006
DCCL,Dodge City-Lake Charles-DCCC Pond,-100.03921,37.77506,1,11030003
DGLL,Douglas Co-Lonestar Lake,-95.381677,38.83356505,195,10270104
DGSL,Douglas State Fishing Lake,-95.1591678,38.80062129,180,10270104
VPAB,Downs District FISH Map4 Prop 1 2 3,,,1,
VPAA,Downs District FISH Map4 Prop 5 7 10,,,1,
CRSJ,DUMMY,,,0,
FSWG,DUMMY,,,0,
KUR,DUMMY,,,0,
NCWL,DUMMY,,,0,
NICJ,DUMMY,,,0,
SODK,DUMMY,,,0,
EGCL,Edgerton City Lake,-95.00402,38.76433,7,10290102
EGBL,Edgerton-Bridgewater Lake,-95.01634,38.769348,2.5,10290102
EDCL,Edna City Lake,-95.3937,37.0359,11,11070103
ZEDU,Educational Groups,-98.69268,37.63194,,11030015
EIFP,Eisenhower State Park-Ike's Flyfishing Pond,-95.75199,38.52153,0.33,10290101
MEKP,Eisenhower State Park-Kids Pond,-95.74441,38.52047,1,10290101
MMKP,Eisenhower State Park-Kids Pond,-95.74441,38.52047,3,10290101
EIPP,Eisenhower State Park-New Pond,-95.73924,38.52247,0.5,10290101
ELDR,El Dorado Reservoir,-96.78906015,37.87688572,8000,11030017
ELDS,El Dorado Res-Outlet Stream,-96.82567,37.84497,1,11030017
ELSP,El Dorado State Park Pond,-96.75265,37.86123,14,11030017
ELPL,El Dorado-East Park Pond,-96.84374,37.81615,1,11030017
ELSB,ELDP-Bluestem Point Pond,-96.77014,37.857,0.5,11030017
ELSA,ELDP-River Pond,-96.82422,37.83623,13,11030017
EKCR,Elk City Reservoir,-95.80117524,37.25637492,4450,11070104
EKKP,Elk City State Park-Kids Pond,-95.76773,37.25669,1,11070104
EKCP,Elk City WA Ponds,-95.87977,37.24317,5,11070104
EWCL,Ellinwood-Wolfe Lake,-98.58692,38.35403,1,11030004
ELCL,Ellis City Lake,-99.56421583,38.93825712,100,10260007
EMCL,Elm Creek Lake,-94.85296,37.76042,0,10290104
EWAP,Elwood Wildlife Area Pond,-94.92433,39.74364,17.5,10240011
EMPL,Empire Lake,-94.70385,37.06409,840,11070207
EMAF,Emporia-Camp Alexander Fowler Pond,-96.11094,38.41859,2,11070201
EMAP,Emporia-Camp Alexander Pond,-96.10835,38.41712,1,11070201
EMJC,Emporia-Jones Park East Pond,-96.20003,38.42367,1.4,11070201
EMJA,Emporia-Jones Park North,-96.20185,38.4258,1.25,11070201
EMJP,Emporia-Jones Park Ponds,-96.20008,38.42366,5,11070201
EMJB,Emporia-Jones Park West Pond,-96.2043,38.42447,1.4,11070201
EMLK,Emporia-Lake Kahola,-96.41528,38.52555,405,11070201
EMPP,Emporia-Peter Pan Park,-96.1879,38.3949,3,11070203
ESCL,Eskridge-Lake Wabaunsee,-96.19172323,38.86183002,214,10270102
ESRP,Eskridge-Lake Wabaunsee RP,-96.19844,38.8699,1,10270102
ESUK,ESU-King Lake,-96.1725,38.4193,10,11070201
EUCL,Eureka City Lake,-96.29774058,37.89902995,259,11070101
PPPP,Experimental Ponds,-96.330804,38.414083,0,11070203
FLRL,Fall River,-96.3013,37.81746,,11070102
FLRV,Fall River,-96.13294,37.68988,,11070102
FLRR,Fall River Reservoir,-96.08317686,37.66249178,2500,11070102
FLSB,Fall River Reservoir Stilling Basin,-96.06979,37.64597,1,11070102
FLRT,Fall River Reservoir-Toe Drain,-96.07064,37.64647,1,11070102
FLRP,Fall River State Park Kids Pond,-96.10546,37.65152,1,11070102
FARH,Farlington Fish Hatchery,-94.80878,37.64795,,10290104
FHSP,Finney Co-Holcomb Sandpit,-100.968314,37.97453,80,11030001
FCPN,Finney County Park-North,-100.918117,37.961703,5,11030001
FCPS,Finney County Park-South,-100.916393,37.960363,5,11030001
FISL,Finney State Fishing Lake,-100.3384484,38.17805415,324,11030005
FOSL,Ford State Fishing Lake,-99.91822465,37.82408299,40,11030006
FOSU,Ford State Fishing Lake-Upper,-99.91832,37.81745,0,11030006
FLML,Fort Leavenworth-Merritt Lake,-94.92007,39.34747,5,10240011
FLSL,Fort Leavenworth-Smith Lake,-94.9171,39.34596,5,10240011
FRCG,Fort Riley-7-Mile Pond,-96.6972,39.13298,2,10270101
FRCH,Fort Riley-Brakenek Lake,-96.84861,39.08977,1,10250017
FRCS,Fort Riley-Cameron Springs,-96.79346,39.10368,5,10270101
FRCF,Fort Riley-Campbell Pond,-96.74166,39.12855,31,10270101
FRCA,Fort Riley-Funston Lake,-96.71571,39.1048,25,10270101
FRCB,Fort Riley-Marshall Lake,-96.79773,39.0495,40,10250017
FRCD,Fort Riley-Moon Lake,-96.80333,39.07361,8,10250017
FRCE,Fort Riley-Pritchard Pond,-96.83408,39.1444,6,10270101
FRCI,Fort Riley-Stone Pond,-96.88303,39.24346,2,10250017
FRCC,Fort Riley-Whiteside Lake,-96.75488,39.08856,8,10270101
FSCA,Fort Scott City Lake,-94.75501237,37.77689731,350,10290104
FSCP,Fort Scott Community College Pond-East,-94.71498,37.819,2,10290104
FSCW,Fort Scott Community College Pond-West,-94.71769,37.81927,2.2,10290104
FSRP,Fort Scott RP,-94.75401,37.78837,1,10290104
FSCB,Fort Scott-Gunn Park E Pond-Fern,-94.72139,37.82895,2,10290104
FSCC,Fort Scott-Gunn Park W Pond-#2,-94.72521,37.82824,11,10290104
FSCD,Fort Scott-Rock Creek Lake,-94.82243076,37.24787874,75,11070207
FSCD,Fort Scott-Rock Creek Lake,-94.75364645,37.81109447,75,10290104
FWWA,Francis Wach's WA Pond,-99.07303,39.92105,2,10260012
FRCP,Fredonia-Cline Pond,-95.9391,37.5326,1,11070102
FRCL,Fris Lake,,,0,
FRNA,Frontenac-Lake #1,-94.6927,37.46479,3,11070207
FRNB,Frontenac-Lake #2,-94.69024,37.46321,1,11070207
FRNC,Frontenac-Lake #3,-94.69307,37.46306,1,11070207
GDCL,Gardner City Lake,-94.92747985,38.84733418,120,10270104
GNCA,Garnett City Lake-North,-95.24222835,38.3012729,55,10290101
GNCB,Garnett City Lake-South,-95.24502,38.268,15,10290101
GNCD,Garnett Kid's Pond,-95.237433,38.290683,2,10290101
GNCC,Garnett-Cedar Creek Lake,-95.31948393,38.244174,350,10290101
GESL,Geary State Fishing Lake,-96.86733,38.89647,97,10260008
GELR,Glen Elder Reservoir,-98.38374835,39.48850765,12586,10260015
GELO,Glen Elder Reservoir Stilling Basin,-98.31348,39.49713,3,10260015
GEPP,Glen Elder State Park Pond,-98.33719,39.51073,5,10260015
GELB,Glen Elder Stilling Basin,-98.3107,39.46808,1,10260015
SOLS,Glen Elder-South Fork Solomon River,-98.440604,39.46598,,10260014
GDSL,Goodman State Fishing Lake,-99.85821,38.38832,40,11030008
GDSM,Goodman State Fishing Lake,-99.85821,38.38832,0,11030008
GOVP,Governor's Cedar Crest Pond,-95.74483,39.06045,3,10270102
GOVE,Governor's Pond-East,-95.74413,39.06136,1,10270102
GOVW,Governor's Pond-West,-95.7491,39.06338,3,10270102
GHCL,Graham Co-Antelope Lake,-100.113043,39.37444598,80,10260013
GO02,Grand Osage #02,-95.20536672,37.30433563,1,11070205
GO03,Grand Osage #03,-95.20268768,37.27180421,13.8,11070205
GO04,Grand Osage #04,-95.20264296,37.26473017,5.1,11070205
GO05,Grand Osage #05,-95.18429695,37.26772219,3.4,11070205
GO06,Grand Osage #06,-95.18226837,37.26894681,3.5,11070205
GO07,Grand Osage #07,-95.18429695,37.26772219,2.6,11070205
GO08,Grand Osage #08,-95.17282564,37.30635693,8.3,11070205
GO10,Grand Osage #10,-95.18313365,37.25555016,10.7,11070205
GO11,Grand Osage #11,-95.19148244,37.26545746,1.6,11070205
GO12,Grand Osage #12,-95.15162808,37.26937554,5.9,11070205
GO13,Grand Osage #13,-95.15147288,37.30403964,2,11070205
GO14,Grand Osage #14,-95.20811337,37.31700163,1.8,11070205
GO16,Grand Osage #16,-95.20510829,37.30607659,2.7,11070205
GO17,Grand Osage #17,-95.21385716,37.28408968,0.4,11070205
GO18,Grand Osage #18,-95.15609999,37.25310526,1.4,11070205
GO19,Grand Osage #19,-95.16987697,37.29216395,0.9,11070205
GO20,Grand Osage #20,-95.15758724,37.30372689,4.8,11070205
GO21,Grand Osage #21,-95.14293749,37.3049642,3,11070205
GO23,Grand Osage #23,-95.16304297,37.27488533,0.5,11070205
GO24,Grand Osage #24,-95.16273163,37.28199243,1.2,11070205
GO25,Grand Osage #25,-95.16188122,37.26729543,0.3,11070205
GO26,Grand Osage #26,-95.16836861,37.31716639,1.3,11070205
GO27,Grand Osage #27,-95.19743667,37.32976949,4.2,11070205
GO29,Grand Osage #29,-95.17711822,37.31457458,1,11070205
GO30,Grand Osage #30,-95.21080216,37.32147666,4.1,11070205
GO31,Grand Osage #31,-95.21566104,37.27860116,3.3,11070205
GO32,Grand Osage #32,-95.19877571,37.26016489,6.2,11070205
GO33,Grand Osage #33,-95.18294874,37.24788622,8.4,11070205
GO34,Grand Osage #34,-95.16386258,37.30768124,6.2,11070205
GO37,Grand Osage #37,-95.19328827,37.30194328,3.9,11070205
GO38,Grand Osage #38,-95.18750126,37.29866638,1.3,11070205
GO39,Grand Osage #39,-95.18211939,37.29337913,1.1,11070205
GO40,Grand Osage #40,-95.19325191,37.27001148,3.8,11070205
GO41,Grand Osage #41,-95.20538051,37.30271376,1.2,11070205
GO43,Grand Osage #43,-95.20040057,37.29749747,1.5,11070205
GO44,Grand Osage #44,-95.21055599,37.27295193,1.5,11070205
GO45,Grand Osage #45,-95.188387,37.25472754,1.7,11070205
GO46,Grand Osage #46,-95.18654852,37.28812143,2.7,11070205
GO48,Grand Osage #48,-95.20950427,37.33128417,1.9,11070205
GO49,Grand Osage #49,-95.19147781,37.32467517,0.6,11070205
GO50,Grand Osage #50,-95.18806373,37.33136913,1,11070205
GO51,Grand Osage #51,-95.14853631,37.29790301,4.6,11070205
GOWA,Grand Osage WA,-95.189397,37.266775,54,11070205
GBCB,Great Bend-Brit Spaugh Zoo,-98.7672,38.37248,1,11030008
GBCA,Great Bend-Stone Park Lake,-98.77159624,38.35239191,50,11030004
GBCL,Great Bend-Vets Park Lake,-98.79512,38.37072,13,11030008
GBEC,Greenbush Education Center,-94.98797,37.50996,5,11070205
GBE2,Greenbush Education Center #2,-94.9873,37.5102,1.5,11070205
GRCL,Gridley City Lake,-95.87918498,38.11278368,33,11070204
HAIN,Hain State Fishing Lake,-99.85685482,37.85122067,53,11030006
ARKL,Halstead-Little Arkansas River,-97.50645,38.00745,,11030012
HMWA,Hamilton State Fishing Lake,-101.7973637,37.98851695,,11030001
HARB,Harbin Fish Farm,-97.970299,37.364828,,11060005
HVCA,Harvey County Lake-East,-97.20336883,38.05123591,320,11030017
HVCB,Harvey County Lake-West,-97.58311,38.07696,16,11030012
HVCC,Harvey County-Camp Hawk,-97.36339,37.99511,4,11030012
HVVL,Harveyville City Lake,-95.97898,38.79352,22,10290101
HYCL,Hays-Big Creek,-99.34638,38.87306,5,10260007
HYRP,Hays-Big Creek RP,-99.86172,38.86172,1,10260003
HSCL,Haysville City Lake-Riggs,-97.36213,37.56834,2,11030013
HSSH,Haysville-South Hampton Lake,-97.369371,37.553709,6,11030013
HVPP,Hays-Vineyard Park Pond,-99.305962,38.89518,0.5,10260007
HRCA,Herington City Lake-New,-97.01398015,38.65171742,555,10260008
HRCB,Herington City Lake-Old,-96.99425049,38.6625403,367,10260008
HRCC,Herington-Father Padilla,-96.944437,38.676647,2,10260008
PDLL,Herington-Father Padilla,-96.944437,38.676647,0,10260008
HIPP,Hesston-Interstate Park Pond,-97.418733,38.147148,1.2,11030012
HICL,Hiawatha City Lake,-95.52757,39.82625,7,10240005
HBCL,Hillsboro-Adobe House Pond,-97.2067,38.34706,1,11070202
HILR,Hillsdale Reservoir,-94.92250105,38.68027183,4580,10290102
HISB,Hillsdale Reservoir Stilling Basin,-94.896898,38.656868,1,10290102
HGLP,Hodgeman Pond,,,0,
HGWA,Hodgeman State Fishing Lake,-99.82457102,38.0479944,87,11030006
HOCA,Holton-Elkhorn Lake,-95.7423,39.47245,4,10270103
HOCB,Holton-Prairie Lake,-95.68850411,39.48988028,78,10270103
HLCL,Holyrood City Lake,-98.39835,38.68698,12,10260006
HORR,Horsethief Reservoir,-100.0581085,38.05714978,450,11030006
HTCL,Horton-Little Lake,-95.51885,39.66876,10,10270103
HTCA,Horton-Mission Lake,-95.51741917,39.67912659,125,10270103
HWCL,Howard-Polk Daniels Lake,-96.22419227,37.46450864,69,11070104
HFSP,Humboldt-Franklin Street Pond,-95.441549,37.819905,1.5,11070204
HUCP,Hutchinson-Carey Park Fishing Pond,-97.91212,38.02347,2,11030011
HUCL,Hutchinson-Carey Park Lagoon,-97.9281,38.03326,4,11030011
HUEC,Hutchinson-Dillon Nature Center,-97.87709,38.08797,3,11030012
KSSF,Hutchinson-Lake Talbott-State Fair Pond,-97.929577,38.078347,1,11030011
HUNP,Hutchinson-North Pond,-97.877671,38.096299,2,11030012
IDPP,Idlewild Park Pond,-97.302783,37.599202,1.5,11030013
ILLN,Illinois,-89.64981,39.78215,,
ZZZZ,"IMPOUNDED F.I.S.H. WATERS, REGION 1 & 3",,,,
ICCP,Independence-ICC Pond,-95.719475,37.195836,2,11070103
INDA,Indiana,-86.15753,39.76843,,
IOKP,Iola Kid's Pond,-95.40299,38.290683,3,10290101
IOWA,Iowa,-93.62549,41.58668,,
ISWA,Isabel WA,-98.539386,37.495049,10,11060005
HOCD,Jackson Co-Lake #1,,,0,
JHHS,Jackson Heights High School Pond,-95.74613,39.52578,1,10270103
JBSA,Jawhawk Boy Scout Lake,-95.40011441,39.1987795,30,10270103
JFWB,Jeffrey Energy Center-Auxiliary Lake,-96.14585819,39.24545432,460,10270102
JFWA,Jeffrey Energy Center-Make Up Lake,-96.13584472,39.26692146,125,10270102
JTCL,Jetmore City Lake,-99.95914,38.05318,106,11030006
JWCL,Jewell City Lake-Emerson Lake,-98.16209392,39.67251265,10,10250017
JWSL,Jewell State Fishing Lake,-98.27867425,39.69939576,57,10260015
JRRM,John Redmond Rearing Marsh,-95.76149,38.23419,30,11070201
JRDR,John Redmond Reservoir,-95.80251453,38.25071329,9400,11070201
JRRP,John Redmond RP,-95.7664,38.23073,11,11070201
JRDP,John Redmond WA Ponds,-95.75524,38.25752,5,11070201
JCCA,Johnson Co-Antioch North,-94.683772,39.011131,1,10270104
JCCB,Johnson Co-Antioch South,-94.684204,39.008715,2,10270104
BSTP,Johnson Co-Bluestem Pond,-94.780046,38.876053,2,10300101
JCCF,Johnson Co-Heritage Park Lake,-94.74783,38.83351,20,10300101
JCCJ,Johnson Co-Heritage Park RP,-94.745662,38.828321,1,10300101
JCCL,Johnson Co-Kill Creek North Pond,-94.97056,38.919536,1,10270104
JCCM,Johnson Co-Kill Creek Park Lake,-94.968383,38.917765,28,10270104
JCCK,Johnson Co-Kill Creek South Pond,-94.974106,38.912514,1,10270104
JCCE,Johnson Co-Shawnee Mission Lake,-94.80330947,38.98394217,121,10270104
JCCG,Johnson Co-Shawnee Mission Pond,-94.788255,38.986487,1,10270104
JCCI,Johnson Co-Shawnee Mission RP,-94.810762,38.984827,1,10270104
JCCC,Johnson Co-Stoll Park Lake,-94.72897,38.91669,2,10300101
JCCH,Johnson Co-Sunflower Park Pond,-95.01524,38.94137,2,10270104
JUBP,Junction City-Bluffs Pond,-96.859719,39.003478,3,10260008
JUHP,Junction City-Helland Pond,-96.8614,39.0326,8,10250017
JUCL,Junction City-Rim Rock Lake,-96.85004,39.02121,5,10260008
JURP,Junction City-River Walk Pond,-96.826692,39.013475,7,10260008
JUWL,Junction City-Wetland Park,-96.822658,39.016697,2,10260008
KANP,Kanopolis Area Ponds,-97.98881,38.64713,1,10260006
KANR,Kanopolis Reservoir,-97.99786616,38.63225981,3550,10260006
KASS,Kanopolis Seep Stream,-97.96316,38.61277,1,10260008
KAPP,Kanopolis State Park Pond,-97.97129,38.60036,2,10260006
ZDWP,Kansas Dept Of Wildlife & Parks,-98.69268,37.63194,,11030015
KSRV,Kansas River,-94.61251,39.11498,0,10270104
KSUR,Kansas State University-Research,-96.59384,39.202,,10270101
KSUS,Kansas University #1,-95.26353,38.94947,0,10270104
KURS,Kansas University #2,-95.19322,39.04858,0,10270104
KU R,Kansas University Research,-95.193075,39.048121,,10270104
